k,tau,f(u),f(v),"q(u,v)",||x-y||,currentMin
0.0,1.0,256.28099988233083,256.28099988233083,256.28099988233083,0.0,100000000000.0
0.0,1.0,255.4980285742526,255.4980285742526,255.4980285742526,0.0,256.28099988233083
0.0,1.0,248.5951657006161,249.07163407512184,248.6889157006161,0.0,255.4980285742526
0.0,1.0,246.09194331360794,248.12100624906117,246.23256831360794,0.0,249.07163407512184
0.0,1.0,243.5859114999073,248.44421392066744,243.7050521249073,0.0,248.12100624906117
0.0,1.0,242.35453792358032,248.98609115734186,242.48051448608032,0.0,248.12100624906117
0.0,1.0,241.52780402804865,248.69778789530528,241.64792121554865,0.0,248.12100624906117
0.0,1.0,241.31238556301176,248.49894375066197,241.44007110988676,0.0,248.12100624906117
0.0,1.0,241.04677467047532,248.52257926880674,241.16689185797532,0.0,248.12100624906117
0.0,1.0,240.83185584941617,248.49686060422195,240.95478065410367,0.0,248.12100624906117
0.0,1.0,240.65432678668333,248.3689423174179,240.78274475543333,0.0,248.12100624906117
0.0,1.0,240.52172743178784,248.6053263156015,240.66003309585034,0.0,248.12100624906117
0.0,1.0,240.42986929650124,248.67338199095616,240.57940542931374,0.0,248.12100624906117
0.0,1.0,240.3458404212742,248.97925519767523,240.5064849525242,0.0,248.12100624906117
0.0,1.0,240.25204536146992,248.61700941670455,240.42916938490742,0.0,248.12100624906117
0.0,1.0,240.0971210271064,249.45487331025254,240.2871845036689,0.0,248.12100624906117
0.0,1.0,240.0819565852545,249.53562474892476,240.272752483692,0.0,248.12100624906117
0.0,1.0,240.06673158996378,249.56791943268541,240.26009096496378,0.0,248.12100624906117
0.0,1.0,239.98181819558025,249.70762818695755,240.18494319558025,0.0,248.12100624906117
0.0,1.0,239.88872281879713,250.044120426744,240.11101285785963,0.0,248.12100624906117
0.0,1.0,239.85061995005398,258.3475935792597,240.07669416880398,0.0,248.12100624906117
0.0,1.0,239.76840961774002,259.286205596986,240.01718891461502,0.0,248.12100624906117
0.0,1.0,239.76082409416236,259.28876202586866,240.01167858634986,0.0,248.12100624906117
0.0,1.0,239.73850901124473,260.89759910212564,239.99143869874473,0.0,248.12100624906117
0.0,1.0,239.67789509893777,260.2882204009465,239.95401814581277,0.0,248.12100624906117
0.0,1.0,239.68313490135176,260.2882204009465,239.95364271385176,0.0,248.12100624906117
0.0,1.0,239.68313490135176,260.2882204009465,239.95364271385176,0.0,248.12100624906117
1.0,1.1,256.28099988233083,256.28099988233083,256.28099988233083,0.7355376434962387,248.12100624906117
1.0,1.1,255.4980285742526,255.4980285742526,255.4980285742526,0.7355376434962387,248.12100624906117
1.0,1.1,248.6290389421892,249.00449742254904,248.6977889421892,0.7355376434962387,248.12100624906117
1.0,1.1,246.06253466564831,248.16274500014043,246.2000346656483,0.7355376434962387,248.12100624906117
1.0,1.1,243.61378339298886,248.55624993995752,243.74698651798886,0.7355376434962387,248.12100624906117
1.0,1.1,242.45922633893488,248.99895447488547,242.5822243858099,0.7355376434962387,248.12100624906117
1.0,1.1,241.32779291023863,248.91474384370593,241.45696771492612,0.7355376434962387,248.12100624906117
1.0,1.1,241.1991340562774,248.08009763652328,241.33032302112113,0.7355376434962387,248.12100624906117
1.0,1.1,240.96291179338846,248.23537346985268,241.08805827776345,0.7355376434962387,248.08009763652328
1.0,1.1,240.7651718494347,248.4752791553172,240.89877780646594,0.7355376434962387,248.08009763652328
1.0,1.1,240.55758106387336,248.07131435180543,240.70676319277962,0.7355376434962387,248.08009763652328
1.0,1.1,240.41838584256163,248.13952849414662,240.5758931667804,0.7355376434962387,248.07131435180543
1.0,1.1,240.39565194505406,248.12241503307894,240.5507422770853,0.7355376434962387,248.07131435180543
1.0,1.1,240.2462147662003,255.19067225391888,240.41876115291905,0.7355376434962387,248.07131435180543
1.0,1.1,240.1454065181326,254.25088953358934,240.3344690181326,0.7355376434962387,248.07131435180543
1.0,1.1,240.0840868926306,254.80959708798548,240.26952390434937,0.7355376434962387,248.07131435180543
1.0,1.1,240.0090112698029,255.62213437267877,240.21056156277166,0.7355376434962387,248.07131435180543
1.0,1.1,239.96472362790016,255.53153210173775,240.1684223583689,0.7355376434962387,248.07131435180543
1.0,1.1,239.96010776524452,255.5972674829171,240.15427280430703,0.7355376434962387,248.07131435180543
1.0,1.1,239.95931840376778,255.53532096600844,240.15052934126777,0.7355376434962387,248.07131435180543
1.0,1.1,239.959715172163,255.53532096600844,240.150389000288,0.7355376434962387,248.07131435180543
1.0,1.1,239.959715172163,255.53532096600844,240.150389000288,0.7355376434962387,248.07131435180543
2.0,1.2100000000000002,256.28099988233083,256.28099988233083,256.28099988233083,0.5887951150442742,248.07131435180543
2.0,1.2100000000000002,255.4980285742526,255.4980285742526,255.4980285742526,0.5887951150442742,248.07131435180543
