k,tau,f(u),f(v),"q(u,v)",||x-y||,currentMin
0.0,1.0,253.75777279769355,253.7870340935423,253.75783762670662,0.0,255.01175161365413
0.0,1.0,251.93702957928048,251.99006923273072,251.93711735132328,0.0,253.7870340935423
0.0,1.0,251.78803613045932,251.834190984581,251.78824896445704,0.0,251.99006923273072
0.0,1.0,250.32806480077588,250.40886750493334,250.32830990645652,0.0,251.834190984581
0.0,1.0,249.69786414435947,249.73322689563673,249.69817960497858,0.0,250.40886750493334
0.0,1.0,249.22167734739776,249.24721900576264,249.22210898642692,0.0,249.73322689563673
0.0,1.0,248.72788747019203,248.79125297083442,248.72838521647293,0.0,249.24721900576264
0.0,1.0,248.41888658467528,248.46421144055952,248.41951408895926,0.0,248.79125297083442
0.0,1.0,248.01893682217025,248.10076305969244,248.01964027720848,0.0,248.46421144055952
0.0,1.0,247.81432372142547,247.880633826674,247.815183854275,0.0,248.10076305969244
0.0,1.0,247.4819840418785,247.5760029176213,247.48292886166928,0.0,247.880633826674
0.0,1.0,247.34378267372495,247.42004257508341,247.3449054420221,0.0,247.5760029176213
0.0,1.0,247.06201047135121,247.1732637111244,247.06322447607698,0.0,247.42004257508341
0.0,1.0,246.96661618732526,247.0619747790347,246.96803380797567,0.0,247.1732637111244
0.0,1.0,246.72393424289203,246.85307810323457,246.72545374200303,0.0,247.0619747790347
0.0,1.0,246.65637490391603,246.77117232621532,246.65812436272,0.0,246.85307810323457
0.0,1.0,246.44478481513113,246.59233410501452,246.44664712203513,0.0,246.77117232621532
0.0,1.0,246.3954068709608,246.52989430425362,246.39752565189258,0.0,246.59233410501452
0.0,1.0,246.20914439565917,246.37546377293364,246.2113871672808,0.0,246.52989430425362
0.0,1.0,246.17163016710245,246.32599172628298,246.1741556986869,0.0,246.37546377293364
0.0,1.0,246.0064067963159,246.20543788991907,246.00905501070628,0.0,246.32599172628298
0.0,1.0,245.97652312223306,246.16147512817642,245.97944556321144,0.0,246.20543788991907
0.0,1.0,245.82904273185036,246.04570571961045,245.83208788407075,0.0,246.16147512817642
0.0,1.0,245.80403020256892,246.2541830942728,245.80735203306475,0.0,246.04570571961045
0.0,1.0,245.67161864415718,245.90614645895224,245.6750951992378,0.0,246.04570571961045
0.0,1.0,245.6493706945659,246.10437419603184,245.65307180700398,0.0,245.90614645895224
0.0,1.0,245.53028342230587,245.78280394035554,245.53422478469608,0.0,245.90614645895224
0.0,1.0,245.50955560225444,245.97065205302866,245.51366593303308,0.0,245.78280394035554
0.0,1.0,245.4020561613758,245.788887918022,245.40644847096556,0.0,245.78280394035554
0.0,1.0,245.38228711186036,245.8501811386393,245.3868349553635,0.0,245.78280394035554
0.0,1.0,245.28467995274374,245.6832100957392,245.28951097336875,0.0,245.78280394035554
0.0,1.0,245.26524837043704,245.741126461379,245.27026425363397,0.0,245.6832100957392
0.0,1.0,245.17635300098746,245.84649855057302,245.18163967894435,0.0,245.6832100957392
0.0,1.0,245.15664189805256,245.64132131254257,245.1621572735179,0.0,245.6832100957392
0.0,1.0,245.0755929416824,245.75024799418063,245.08131110487747,0.0,245.64132131254257
0.0,1.0,245.05547171732383,245.73403038143348,245.0614683215107,0.0,245.64132131254257
0.0,1.0,244.98139150898672,245.66563244485167,244.98753466824098,0.0,245.64132131254257
0.0,1.0,244.9608140534964,245.64457060820254,244.967234873036,0.0,245.64132131254257
0.0,1.0,244.8927893502606,245.58161122441504,244.89936416524995,0.0,245.64132131254257
0.0,1.0,244.87171191985206,245.56120821118645,244.87858058910115,0.0,245.58161122441504
0.0,1.0,244.80909595296168,245.50303939210218,244.81612610524644,0.0,245.56120821118645
0.0,1.0,244.7874826020302,245.4508435807993,244.7947864557464,0.0,245.50303939210218
0.0,1.0,244.72968684305525,245.39641923303114,244.7371360337594,0.0,245.4508435807993
0.0,1.0,244.70748686052195,245.3725437518677,244.7152124473402,0.0,245.39641923303114
0.0,1.0,244.654033036846,245.32200307519608,244.66190814579318,0.0,245.3725437518677
0.0,1.0,244.63130860910516,245.29830652036,244.63946930548227,0.0,245.32200307519608
0.0,1.0,244.5817580647676,245.2512570800501,244.59007237730466,0.0,245.29830652036
0.0,1.0,244.55854530564844,245.21265692630496,244.5671249293689,0.0,245.2512570800501
0.0,1.0,244.5124674393042,245.1493768616271,244.52118925872352,0.0,245.21265692630496
0.0,1.0,244.48874950128325,245.14118233630177,244.49768869427132,0.0,245.1493768616271
0.0,1.0,244.44583762823595,245.08198623432654,244.45491972140107,0.0,245.14118233630177
0.0,1.0,244.4217188872789,245.07283453786854,244.43102405682816,0.0,245.08198623432654
0.0,1.0,244.38166748696116,245.01743433518394,244.3911164113053,0.0,245.07283453786854
0.0,1.0,244.35720247071532,245.00736972567836,244.36688031539788,0.0,245.01743433518394
0.0,1.0,244.3197392226368,244.95549680537135,244.32956182238922,0.0,245.00736972567836
0.0,1.0,244.29498264045034,244.94456892812428,244.30504012510332,0.0,244.95549680537135
0.0,1.0,244.2598643722547,244.8959772540339,244.27006774912303,0.0,244.94456892812428
0.0,1.0,244.23486968386658,244.88424154719888,244.2453140180924,0.0,244.8959772540339
0.0,1.0,244.2018788955256,244.8387050277545,244.21247039148096,0.0,244.88424154719888
0.0,1.0,244.17669734925337,244.826220215504,244.18753597509178,0.0,244.8387050277545
0.0,1.0,244.14563922120362,244.78353047383627,244.1566264060103,0.0,244.826220215504
0.0,1.0,244.12031923725561,244.77035685999041,244.13155981650547,0.0,244.78353047383627
0.0,1.0,244.09101903838607,244.73032134940914,244.1024096963533,0.0,244.77035685999041
0.0,1.0,244.0656058413616,244.71651956906408,244.0772562414958,0.0,244.73032134940914
0.0,1.0,244.0379066728021,244.6789600033772,244.0497087880512,0.0,244.71651956906408
0.0,1.0,244.01244210491657,244.66459011707994,244.02451038353206,0.0,244.6789600033772
0.0,1.0,243.9862029280219,244.6293411383551,243.99842466839303,0.0,244.66459011707994
0.0,1.0,243.9851097623359,244.70029639879118,243.9978273858095,0.0,244.6293411383551
0.0,1.0,243.91621501408403,244.61600357743822,243.92909336634835,0.0,244.6293411383551
0.0,1.0,243.8878179794465,244.615183001734,243.9007937501115,0.0,244.61600357743822
0.0,1.0,243.8664690118208,244.5712819735178,243.8797215384618,0.0,244.615183001734
0.0,1.0,243.83965019839644,244.57000447621678,243.85300490134108,0.0,244.5712819735178
0.0,1.0,243.81797901349103,244.52799291718532,243.83161428585683,0.0,244.57000447621678
0.0,1.0,243.79259981369205,244.52627888653686,243.80634184921982,0.0,244.52799291718532
0.0,1.0,243.7706718816777,244.48608903017978,243.7846983504036,0.0,244.52627888653686
0.0,1.0,243.74660722059969,244.48395611352024,243.76074491461912,0.0,244.48608903017978
0.0,1.0,243.72448126838657,244.44551585480153,243.73890736200946,0.0,244.48395611352024
0.0,1.0,243.70161822368678,244.44298220494295,243.71615990209585,0.0,244.44551585480153
0.0,1.0,243.70061580587526,244.3920428611994,243.7157577121146,0.0,244.44298220494295
0.0,1.0,243.64043235836965,244.3898863903552,243.65566274982848,0.0,244.3920428611994
0.0,1.0,243.61550910771967,244.3560409314218,243.63089749158766,0.0,244.3898863903552
0.0,1.0,243.59672547718125,244.35112353462077,243.612382489872,0.0,244.3560409314218
0.0,1.0,243.5731358938732,244.3195205909502,243.58895251028162,0.0,244.35112353462077
0.0,1.0,243.55397499242292,244.3136178651042,243.5700670466849,0.0,244.3195205909502
0.0,1.0,243.53160343129278,244.2841038538259,243.54785677328482,0.0,244.3136178651042
0.0,1.0,243.51213340996503,244.27731770315637,243.5286689446652,0.0,244.2841038538259
0.0,1.0,243.49087533229078,244.24974960826628,243.50757390632285,0.0,244.27731770315637
0.0,1.0,243.47115707291053,244.24217468071984,243.4881445370128,0.0,244.24974960826628
0.0,1.0,243.45091794639663,244.21641932561107,243.46807026376902,0.0,244.24217468071984
0.0,1.0,243.4491343523489,244.21846606731464,243.466892645304,0.0,244.21641932561107
0.0,1.0,243.39618298018246,244.1631525497371,243.41412132786837,0.0,244.21641932561107
0.0,1.0,243.37414787482962,244.15979835242942,243.39222638389074,0.0,244.1631525497371
0.0,1.0,243.35711583138476,244.13234138049867,243.37552980142618,0.0,244.15979835242942
0.0,1.0,243.3362203743862,244.1286391501164,243.35477877970058,0.0,244.13234138049867
0.0,1.0,243.31881572475373,244.10244863777777,243.33771383262285,0.0,244.1286391501164
0.0,1.0,243.2989615690621,244.09842234742888,243.31800827244462,0.0,244.10244863777777
0.0,1.0,243.28124865497165,244.07344213885798,243.3006393772339,0.0,244.09842234742888
