k,tau,f(u),f(v),"q(u,v)",||x-y||,currentMin
k,tau,f(u),f(v),"q(u,v)",||x-y||,currentMin
0.0,1.0,256.28099988233083,256.28099988233083,256.28099988233083,0.0,100000000000.0
0.0,1.0,255.4980285742526,255.4980285742526,255.4980285742526,0.0,256.28099988233083
0.0,1.0,250.61693490688953,250.61693490688953,250.61693490688953,0.0,255.4980285742526
0.0,1.0,246.30863501718673,249.38598173654486,246.44926001718673,0.0,250.61693490688953
0.0,1.0,243.52007718175804,250.5882177577085,243.64312405675804,0.0,249.38598173654486
0.0,1.0,241.86055373022114,250.23065275329523,242.00850294897114,0.0,249.38598173654486
0.0,1.0,241.606192095846,249.60524965822685,241.757559283346,0.0,249.38598173654486
0.0,1.0,241.3088428246852,249.6373709988123,241.4462939965602,0.0,249.38598173654486
0.0,1.0,241.01626475417655,249.92925643804813,241.15701182448905,0.0,249.38598173654486
0.0,1.0,240.834868900254,250.1252632668358,240.9753718299415,0.0,249.38598173654486
0.0,1.0,240.73463471770233,250.25490909083103,240.87977631926483,0.0,249.38598173654486
0.0,1.0,240.61227038530163,251.45364677022343,240.76070788530163,0.0,249.38598173654486
0.0,1.0,240.53217408099997,251.43643100332508,240.68427369037497,0.0,249.38598173654486
0.0,1.0,240.50063703839032,251.79670514204952,240.65993879620282,0.0,249.38598173654486
0.0,1.0,240.42469894624762,250.96439410432208,240.58644211031012,0.0,249.38598173654486
0.0,1.0,240.40239070912435,250.67262519396522,240.55326961537435,0.0,249.38598173654486
0.0,1.0,240.39834737473734,250.68397079506371,240.55130147629984,0.0,249.38598173654486
0.0,1.0,240.39470951879477,250.68745033409013,240.54510014379477,0.0,249.38598173654486
0.0,1.0,240.31622538906575,250.7144122038619,240.46978984219075,0.0,249.38598173654486
0.0,1.0,240.29283692155278,250.7708550593378,240.45433594499028,0.0,249.38598173654486
0.0,1.0,240.23770938631992,250.82784831915274,240.39371524569492,0.0,249.38598173654486
0.0,1.0,240.21471145367224,251.2453982173267,240.37608840679724,0.0,249.38598173654486
0.0,1.0,240.12778229844247,251.53744426344602,240.29929108750497,0.0,249.38598173654486
0.0,1.0,240.09011039456408,254.37491933666072,240.26515922268908,0.0,249.38598173654486
0.0,1.0,240.04882577699192,253.9218037994437,240.22033456605442,0.0,249.38598173654486
0.0,1.0,239.96739472964362,255.62320760532995,240.15062226870612,0.0,249.38598173654486
0.0,1.0,239.90007046722252,256.69998764083135,240.08280972503502,0.0,249.38598173654486
0.0,1.0,239.82954720163363,257.8296891467711,240.02254036569613,0.0,249.38598173654486
0.0,1.0,239.78271645232172,258.6979369191973,239.97595375700922,0.0,249.38598173654486
0.0,1.0,239.75146323401958,258.814257024936,239.95471030433208,0.0,249.38598173654486
0.0,1.0,239.6910575069165,259.6179917012062,239.8976004756665,0.0,249.38598173654486
0.0,1.0,239.68589069243583,259.3465550919425,239.89438678618583,0.0,249.38598173654486
0.0,1.0,239.68774251415948,259.3465550919425,239.89306477978448,0.0,249.38598173654486
0.0,1.0,239.68774251415948,259.3465550919425,239.89306477978448,0.0,249.38598173654486
1.0,1.1,255.06199976466158,255.06199976466158,255.06199976466158,0.6408155204503087,249.38598173654486
1.0,1.1,254.27902845658335,254.27902845658335,254.27902845658335,0.6408155204503087,249.38598173654486
1.0,1.1,248.76303452352548,251.23033531642673,248.90053452352547,0.6408155204503087,249.38598173654486
1.0,1.1,245.64339635010566,248.01836636635844,245.80667760010567,0.6408155204503087,249.38598173654486
1.0,1.1,242.85781873213696,249.18137127170436,242.98672498213696,0.6408155204503087,248.01836636635844
1.0,1.1,241.80849324537036,249.0583796002851,241.91967488599536,0.6408155204503087,248.01836636635844
1.0,1.1,241.46700495207207,248.9039733328243,241.57912653410332,0.6408155204503087,248.01836636635844
1.0,1.1,241.15257468173442,247.66052992542333,241.25838522860943,0.6408155204503087,248.01836636635844
1.0,1.1,240.91451226307794,247.65432274834117,241.01790581776544,0.6408155204503087,247.66052992542333
1.0,1.1,240.85724973634944,247.6850747247178,240.9664172168182,0.6408155204503087,247.65432274834117
1.0,1.1,240.82843686289343,247.6736588809158,240.93921567148718,0.6408155204503087,247.65432274834117
1.0,1.1,240.62251044372329,249.00312963018536,240.7522223577858,0.6408155204503087,247.65432274834117
